,COSMIC_ID,gene_expr,AUC
1,1240121,3.099788583,0.839786
2,1240122,3.339965324,0.797647
3,1240123,3.09923374,0.696088
4,1240124,3.394443226,0.738895
5,1240127,3.762241806,0.793449
6,1240128,3.559775258,0.764266
7,1240129,3.301322854,0.851621
8,1240131,3.478030064,0.779084
9,1240132,3.142699795,0.947732
10,1240134,3.308233339,0.741919
11,1240140,3.199454889,0.785179
12,1240141,3.187496171,0.778378
13,1240142,3.276880268,0.74118
14,1240143,3.260776964,0.785772
15,1240145,3.909489197,0.829241
16,1240146,3.30688184,0.757618
17,1240149,3.949624097,0.764276
18,1240151,3.228969791,0.671073
19,1240153,3.275089913,0.80292
20,1240154,3.971547898,0.836299
21,1240155,3.6799841,0.829915
22,1240157,3.327165861,0.763759
23,1240158,3.704681957,0.783452
24,1240159,4.457401975,0.948333
25,1240160,3.354212231,0.839689
26,1240162,3.019195962,0.746911
27,1240166,3.139785363,0.831345
28,1240167,3.290111421,0.770279
29,1240168,4.233384607,0.705224
30,1240169,3.498434449,0.722401
31,1240172,3.232315868,0.654251
32,1240173,3.203680321,0.724269
33,1240174,3.079061506,0.685031
34,1240179,3.742290575,0.90396
35,1240181,3.422218179,0.797375
36,1240183,3.920069008,0.635755
37,1240184,2.948642982,0.757423
38,1240185,3.57112943,0.923499
39,1240186,3.431315778,0.865546
40,1240187,3.214580501,0.906905
41,1240189,3.286070189,0.941513
42,1240190,3.420095633,0.899015
43,1240192,3.719882185,0.843718
44,1240193,3.487070047,0.744978
45,1240196,3.311619672,0.714961
46,1240197,3.284440999,0.77636
47,1240198,3.268283066,0.751586
48,1240199,3.331278787,0.88407
49,1240200,5.363804264,0.829874
50,1240201,3.404836271,0.704039
51,1240202,3.371635946,0.750677
52,1240208,3.453301269,0.835173
53,1240209,3.276389399,0.78115
54,1240210,3.36191654,0.79821
55,1240212,3.26956648,0.757501
56,1240215,3.336912157,0.788606
57,1240216,3.332156334,0.807402
58,1240217,3.370167253,0.81367
59,1240218,3.356495636,0.834049
60,1240219,3.209497276,0.830499
61,1240221,3.772716597,0.849148
62,1240222,3.30539475,0.668142
63,1240223,3.505404448,0.882215
64,1240226,3.252216597,0.71205
65,1247871,4.728433945,0.706064
66,1290455,4.42294887,0.74147
67,1290722,3.284124317,0.735115
68,1290724,3.313470233,0.796337
69,1290730,3.218861261,0.75988
70,1290765,3.289776793,0.724857
71,1290769,3.264981595,0.72192
72,1290795,3.341326574,0.663922
73,1290797,3.569653022,0.734666
74,1290798,3.155429935,0.657426
75,1290806,4.834983827,0.797417
76,1290807,3.060345561,0.788337
77,1290808,3.23666473,0.775635
78,1290809,3.000370342,0.728733
79,1290810,3.006414401,0.855887
80,1290812,3.094069001,0.763016
81,1290813,2.987615069,0.745589
82,1290814,3.098559303,0.710639
83,1290905,3.250019216,0.879394
84,1290908,3.210469378,0.71729
85,1290922,3.121781174,0.693141
86,1295740,3.890197341,0.739812
87,1295741,4.188921686,0.532706
88,1297446,3.702058059,0.71883
89,1297447,3.808491874,0.770038
90,1298134,2.930288584,0.905949
91,1298136,3.063534857,0.714867
92,1298141,3.413541285,0.797535
93,1298146,4.362433449,0.856401
94,1298151,3.442239818,0.702648
95,1298157,4.048073695,0.741729
96,1298168,3.337244167,0.716665
97,1298169,3.622783067,0.750891
98,1298216,3.787826552,0.732055
99,1298218,3.171808711,0.806227
100,1298219,3.183557001,0.759261
101,1298222,2.95012507,0.827064
102,1298223,3.471320523,0.794045
103,1298226,3.55607646,0.661253
104,1298347,3.645787143,0.984736
105,1298348,3.459583259,0.889882
106,1298349,3.828908369,0.881558
107,1298350,3.334511284,0.764484
108,1298357,3.475822613,0.818909
109,1298358,3.355483311,0.936274
110,1298359,3.186920466,0.770643
111,1298365,3.073233855,0.81095
112,1298475,3.195209268,0.764681
113,1298476,3.321883727,0.879267
114,1298526,3.84695786,0.771966
115,1298529,3.21171659,0.784912
116,1298533,3.853484892,0.809693
117,1298537,3.296193589,0.860298
118,1298538,3.265108443,0.798123
119,1298539,3.218488989,0.910005
120,1299050,3.4596191,0.883739
121,1299052,3.603322376,0.818406
122,1299059,3.368384894,0.743439
123,1299062,3.688803054,0.83798
124,1299064,3.297612179,0.727573
125,1299070,3.381229079,0.892434
126,1299075,3.51100049,0.858078
127,1299078,3.470726104,0.857559
128,1299080,3.326272861,0.683743
129,1299081,3.457863246,0.719954
130,1303896,3.530489833,0.691206
131,1303897,4.013474572,0.678695
132,1303900,3.477556693,0.676627
133,1303912,3.538541991,0.761682
134,1322212,4.175315865,0.834501
135,1322218,4.103883575,0.754581
136,1327766,3.684832593,0.703975
137,1327769,4.025446383,0.67041
138,1327773,3.610726578,0.722048
139,1327774,5.143255326,0.90014
140,1327775,3.252613478,0.783912
141,1330931,3.451670391,0.732735
142,1330933,4.282871759,0.721375
143,1330935,3.301802326,0.739362
144,1330941,3.359223261,0.884368
145,1330942,3.478567586,0.746567
146,1330947,3.423466951,0.692518
147,1330950,4.525330892,0.837479
148,1330964,3.138186411,0.820114
149,1330972,3.241828317,0.894594
150,1330973,3.112117653,0.967057
151,1330985,3.305475169,0.544346
152,1330987,6.066791039,0.787864
153,1330993,3.20463034,0.727146
154,1330995,4.00223571,0.757478
155,1331032,3.589436493,0.778867
156,1331033,4.722081577,0.726726
157,1331036,4.09029691,0.656238
158,1331037,5.019322359,0.683182
159,1331038,4.801499229,0.8148
160,1331039,3.838952428,0.694401
161,1331040,3.201251026,0.728982
162,1331045,4.498527668,0.841461
163,1331048,3.375985144,0.737422
164,1331049,3.621115247,0.760438
165,1331050,3.475160696,0.694007
166,1479987,3.167539124,0.848851
167,1479988,3.432549594,0.820679
168,1480362,3.219274965,0.801281
169,1480364,4.021698844,0.774174
170,1480372,3.494909083,0.805913
171,1503361,4.019414848,0.824659
172,1503362,3.592944771,0.78541
173,1503363,3.35945689,0.723022
174,1503364,3.671560911,0.820909
175,1503365,3.021596155,0.791164
176,1503366,3.277863124,0.871798
177,1503367,3.05593388,0.775306
178,1503368,3.747735621,0.773382
179,1503370,3.184557442,0.784657
180,1503371,3.145742624,0.813902
181,1524416,3.495396098,0.836642
182,1659818,4.020758462,0.715282
183,1659928,3.914571413,0.842821
184,1660034,3.22370172,0.724038
185,1660035,3.270170842,0.885077
186,1674021,3.696467528,0.754094
187,683665,3.791894488,0.642122
188,683667,3.422545274,0.663335
189,684052,3.684531156,0.770304
190,684059,3.289210151,0.781368
191,684062,3.585876372,0.813832
192,684072,3.352220763,0.802598
193,684681,3.555339526,0.847733
194,687448,3.134947723,0.748143
195,687452,3.243133196,0.747006
196,687455,3.335281678,0.845756
197,687457,3.283894953,0.832773
198,687459,3.90908406,0.807324
199,687505,5.245848027,0.805559
200,687506,3.744122608,0.746205
201,687514,3.229192506,0.837829
202,687561,3.492581305,0.806668
203,687562,4.128028597,0.727776
204,687563,3.359298441,0.628559
205,687568,3.205802676,0.738634
206,687586,3.345400002,0.757561
207,687588,3.312259359,0.726439
208,687590,3.51087621,0.817355
209,687600,3.270650792,0.81273
210,687777,3.418256866,0.810255
211,687780,3.411376679,0.700621
212,687787,3.516794747,0.865423
213,687798,3.237431974,0.882287
214,687799,3.256367241,0.832305
215,687800,3.071515079,0.740346
216,687802,3.424496081,0.667832
217,687807,3.517047972,0.936374
218,687812,3.225131401,0.754484
219,687815,3.727553786,0.799998
220,687816,2.848030847,0.805718
221,687819,3.697244334,0.913234
222,687820,3.186029736,0.803933
223,687821,3.276578231,0.846078
224,687829,3.604219416,0.876734
225,687980,6.210851813,0.847426
226,687983,3.97472512,0.795827
227,687985,3.365384748,0.763169
228,687995,3.28098953,0.828691
229,687997,3.402903011,0.77274
230,688001,3.374549187,0.601504
231,688006,3.213347917,0.846744
232,688010,3.565675351,0.761159
233,688013,4.028656251,0.709739
234,688014,3.741483002,0.696515
235,688023,3.674652926,0.682606
236,688025,3.192392823,0.859087
237,688026,3.620402418,0.889545
238,688027,3.566890005,0.728056
239,688031,3.27038833,0.863905
240,688058,3.259074649,0.718126
241,688086,3.710539004,0.750202
242,688087,3.183759588,0.779217
243,688121,3.730595529,0.780988
244,713869,4.321741979,0.964251
245,713880,3.58549049,0.800685
246,713899,3.496794356,0.841126
247,717431,3.946759956,0.795406
248,722046,3.575973029,0.873282
249,722066,4.108204776,0.873417
250,724825,3.496025387,0.713627
251,724828,4.02107143,0.729611
252,724831,3.696726734,0.81146
253,724834,3.37852311,0.863533
254,724838,3.914138953,0.86089
255,724839,3.314530462,0.826457
256,724855,3.275018625,0.900276
257,724859,3.107076616,0.835878
258,724863,3.293643929,0.899798
259,724866,3.661408267,0.856908
260,724868,3.529719438,0.936016
261,724869,3.417365816,0.768912
262,724870,3.658326961,0.890467
263,724872,3.37575828,0.776422
264,724873,3.782524602,0.81756
265,724878,3.199304641,0.891336
266,724879,3.151867059,0.745095
267,735784,3.399641028,0.811656
268,749709,3.789548909,0.710038
269,749710,4.452734172,0.802148
270,749711,3.880603199,0.693955
271,749712,3.436967251,0.776774
272,749713,3.393317741,0.782033
273,749714,3.266190219,0.67147
274,749715,3.292466652,0.729677
275,749716,3.348731269,0.884979
276,749717,3.345719547,0.626862
277,753532,3.155370274,0.772721
278,753538,3.295305011,0.745204
279,753539,3.39315262,0.834379
280,753541,3.488870909,0.774352
281,753547,3.517194481,0.85194
282,753548,3.435809437,0.749963
283,753552,3.00248056,0.663529
284,753554,3.44191274,0.679714
285,753555,3.126932881,0.773725
286,753556,3.378951389,0.812516
287,753561,3.924853786,0.694834
288,753562,3.375366086,0.786999
289,753563,3.320047176,0.743212
290,753565,3.044195568,0.772562
291,753566,3.17167997,0.809681
292,753569,3.675034103,0.797935
293,753572,3.252954,0.842847
294,753573,3.335796095,0.786106
295,753574,3.254121053,0.752393
296,753575,3.261314694,0.71627
297,753576,3.219445718,0.807881
298,753583,4.072444886,0.699041
299,753584,3.248963879,0.771769
300,753585,3.326566653,0.781528
301,753586,4.575502758,0.790834
302,753589,3.788375278,0.949432
303,753592,3.254301604,0.779162
304,753594,3.373401142,0.927192
305,753600,3.388697539,0.91796
306,753607,3.419881373,0.943505
307,753608,3.479623948,0.789092
308,753610,3.460667177,0.77992
309,753612,3.85219032,0.784688
310,753615,3.476391294,0.739864
311,753616,3.557140738,0.702741
312,753618,3.266765261,0.664845
313,753620,3.668771356,0.72803
314,753621,3.302321384,0.769793
315,753623,3.257412751,0.761525
316,753624,3.472752904,0.793524
317,905933,3.491547038,0.749349
318,905934,3.494668552,0.818171
319,905935,3.82327224,0.883074
320,905936,3.422810288,0.851114
321,905937,3.163358221,0.776315
322,905938,4.286548869,0.743091
323,905939,2.961687314,0.758725
324,905940,3.480238898,0.853939
325,905941,3.246062917,0.874337
326,905942,3.5931779,0.827392
327,905944,3.291687073,0.843432
328,905945,3.279187373,0.706163
329,905946,3.400225992,0.740294
330,905947,4.230755074,0.737934
331,905948,3.157332064,0.624773
332,905949,3.516532121,0.776416
333,905950,3.075824822,0.740508
334,905951,3.230957297,0.741558
335,905952,4.976875343,0.638339
336,905955,3.358758419,0.749981
337,905957,3.321594511,0.663837
338,905958,3.426104342,0.749025
339,905959,3.547390102,0.816607
340,905960,3.2997655,0.683523
341,905961,3.071641887,0.75674
342,905962,3.282151317,0.753091
343,905964,4.617216323,0.727294
344,905965,3.264300626,0.752395
345,905967,3.410035921,0.858735
346,905968,3.385863147,0.772511
347,905969,3.297489861,0.815451
348,905971,3.822130798,0.793551
349,905972,3.413811713,0.722229
350,905973,3.20572184,0.782098
351,905974,3.583827767,0.731841
352,905975,3.306492737,0.73134
353,905976,3.229087316,0.796314
354,905977,3.36601143,0.798718
355,905979,3.963251375,0.893125
356,905980,3.55108407,0.791151
357,905983,3.577464411,0.803787
358,905984,3.264276158,0.726339
359,905986,3.512306341,0.78337
360,905989,3.889694519,0.701427
361,905990,3.39667524,0.79785
362,905991,3.303937578,0.796411
363,906693,3.533255393,0.819771
364,906696,3.702610795,0.739486
365,906746,3.052281647,0.870715
366,906763,6.026864921,0.555779
367,906765,4.106035974,0.692917
368,906790,3.496056956,0.722536
369,906792,3.737852399,0.722536
370,906793,3.53273773,0.740163
371,906794,3.028641676,0.781225
372,906795,3.141441128,0.701589
373,906797,3.421698274,0.725781
374,906798,3.334167836,0.760585
375,906800,6.225527038,0.766281
376,906801,3.168125335,0.828427
377,906804,3.542302516,0.750966
378,906805,3.199437319,0.781183
379,906808,3.456939539,0.944069
380,906812,3.645429632,0.642685
381,906814,3.322618329,0.670292
382,906817,3.108417336,0.951295
383,906818,3.539911209,0.722147
384,906820,3.53644496,0.753471
385,906821,2.991352609,0.714624
386,906824,3.322469541,0.693397
387,906826,3.209172637,0.703905
388,906827,3.313016499,0.730063
389,906828,3.528360737,0.798033
390,906830,3.34216153,0.767154
391,906831,3.99035468,0.791694
392,906832,3.97471702,0.59664
393,906833,3.715895776,0.75915
394,906834,3.306098162,0.699621
395,906835,3.176067747,0.814349
396,906836,3.08507954,0.599374
397,906837,2.96103965,0.758671
398,906838,5.784507953,0.730939
399,906839,3.231363818,0.701557
400,906843,3.244305885,0.640372
401,906844,3.591993838,0.679998
402,906846,3.213418742,0.730935
403,906847,3.04511805,0.706047
404,906848,3.487388856,0.74101
405,906851,3.148062526,0.710458
406,906853,3.53012501,0.776548
407,906855,4.205742501,0.748578
408,906856,4.047652915,0.775495
409,906861,3.372095008,0.775382
410,906862,3.454698219,0.6596
411,906863,3.366606813,0.81302
412,906864,3.243737085,0.746279
413,906865,3.228337864,0.658866
414,906868,3.381514724,0.728799
415,906869,4.715626232,0.769155
416,906870,3.445704313,0.682598
417,906871,3.192623058,0.757431
418,906872,3.631624967,0.787713
419,906875,3.264900282,0.849576
420,906877,4.119646871,0.742735
421,906999,3.484893334,0.891246
422,907000,3.200524435,0.773813
423,907042,3.196345314,0.792865
424,907043,3.256116439,0.695693
425,907044,3.784427055,0.799614
426,907045,3.25828018,0.800964
427,907046,3.144456923,0.655385
428,907047,3.706590948,0.799672
429,907048,3.589199545,0.605208
430,907050,3.189371308,0.882261
431,907051,3.246557005,0.769548
432,907055,3.268710688,0.740524
433,907056,3.366780848,0.862256
434,907057,3.3940118,0.763471
435,907058,3.381901119,0.761335
436,907060,3.245578201,0.763006
437,907061,3.507238423,0.823625
438,907062,3.22449955,0.862974
439,907064,3.633869232,0.713155
440,907065,3.616772278,0.789613
441,907066,3.730994612,0.792832
442,907067,3.292447394,0.748752
443,907068,3.508522956,0.893726
444,907069,3.267440308,0.769102
445,907071,3.481785874,0.90298
446,907072,3.196068812,0.793262
447,907169,3.522418289,0.71321
448,907170,3.073945291,0.740226
449,907172,3.212059734,0.708652
450,907173,3.487712273,0.882436
451,907268,3.414239499,0.719142
452,907269,3.949530059,0.654402
453,907270,3.441705962,0.707677
454,907271,3.41876784,0.799755
455,907272,3.512973371,0.779005
456,907273,3.919404525,0.744128
457,907274,3.336365963,0.735384
458,907276,4.502446479,0.837342
459,907277,3.64002243,0.6383
460,907278,3.731586684,0.755069
461,907279,3.421537629,0.760673
462,907280,3.387071725,0.7101
463,907281,4.31052318,0.72878
464,907285,3.494036857,0.728139
465,907286,3.179036181,0.808762
466,907287,3.30572112,0.834857
467,907290,3.202217906,0.816713
468,907291,4.209383987,0.807294
469,907295,4.175174454,0.876524
470,907298,3.292103047,0.735099
471,907299,3.208221754,0.720486
472,907300,4.321723343,0.733917
473,907311,3.344907965,0.75772
474,907312,3.237947893,0.812327
475,907313,3.124296897,0.811822
476,907314,3.560198144,0.821167
477,907317,3.256568863,0.715265
478,907318,3.153166779,0.775235
479,907319,3.195132406,0.769135
480,907320,3.512035562,0.747936
481,907322,3.490284072,0.76851
482,907323,3.480604766,0.733571
483,907783,4.049135432,0.750933
484,907787,4.452811718,0.73837
485,907788,4.065965138,0.762867
486,907789,3.557875426,0.644905
487,907790,3.781604875,0.813997
488,907792,3.131980693,0.799349
489,907794,3.202249862,0.838852
490,907796,3.400124518,0.926536
491,908121,3.272363617,0.836593
492,908122,3.465878775,0.76163
493,908123,3.260493264,0.644051
494,908125,3.2079169,0.84697
495,908126,4.117744167,0.757715
496,908127,3.454745961,0.71781
497,908128,3.442668526,0.78084
498,908129,3.356758049,0.792523
499,908130,3.15855393,0.875653
500,908131,3.456333163,0.679245
501,908132,3.392212824,0.715887
502,908136,5.538722021,0.848535
503,908138,3.329817403,0.742207
504,908139,3.295763914,0.823971
505,908141,3.596858408,0.688862
506,908142,3.120342431,0.743238
507,908143,6.175391494,0.803797
508,908144,3.18427146,0.671324
509,908145,3.192733068,0.746912
510,908146,4.180223457,0.738555
511,908147,3.374357325,0.701366
512,908148,3.342923784,0.722854
513,908149,3.240117515,0.763501
514,908150,3.028022456,0.848621
515,908151,3.322993258,0.710768
516,908152,3.64721207,0.843352
517,908156,3.556401304,0.736576
518,908158,3.779772651,0.768606
519,908159,4.148954145,0.729612
520,908440,3.417449376,0.722845
521,908441,4.379351775,0.762163
522,908443,3.184842786,0.802792
523,908444,3.314251375,0.879925
524,908445,3.630248473,0.786538
525,908446,3.50965654,0.718831
526,908447,3.16680818,0.839097
527,908448,3.757419906,0.802304
528,908451,3.72994702,0.87632
529,908454,3.25481671,0.750457
530,908455,3.230586164,0.804102
531,908457,3.172348991,0.748851
532,908458,3.71343185,0.770703
533,908459,3.058994059,0.807136
534,908460,3.200213803,0.91637
535,908461,3.457372672,0.823549
536,908462,3.051774433,0.7708
537,908463,3.254258628,0.939251
538,908465,3.084249783,0.805526
539,908467,3.426295174,0.811558
540,908470,3.307480182,0.893467
541,908471,5.425315776,0.844069
542,908472,3.201563089,0.882204
543,908473,3.171354542,0.84113
544,908474,3.910961913,0.719159
545,908475,3.221268942,0.715392
546,908476,3.285669986,0.861167
547,908483,3.747424139,0.826158
548,909248,3.468248784,0.756297
549,909249,3.537643357,0.742837
550,909250,4.344782292,0.795307
551,909251,4.136303372,0.654094
552,909252,3.684844111,0.855795
553,909253,3.208032959,0.845525
554,909255,3.43379463,0.790333
555,909256,3.19356977,0.707928
556,909257,3.224405079,0.757799
557,909260,3.166648247,0.690633
558,909262,3.360953422,0.755353
559,909263,3.265304641,0.864626
560,909264,3.162510446,0.851476
561,909696,3.929157908,0.879564
562,909697,3.827895549,0.872394
563,909698,3.240173204,0.73551
564,909699,3.562253561,0.761551
565,909701,3.328759751,0.728298
566,909702,3.570744318,0.742721
567,909703,4.37565606,0.628437
568,909704,3.431922355,0.724263
569,909707,3.051349713,0.969846
570,909708,3.766680411,0.710328
571,909709,3.261892559,0.828567
572,909713,3.269407348,0.695483
573,909716,3.248604375,0.895464
574,909717,4.193794879,0.780692
575,909718,3.571097768,0.720639
576,909719,3.404634727,0.8066
577,909720,3.181742333,0.851373
578,909721,3.541123726,0.856183
579,909723,8.726890123,0.947559
580,909725,3.185031493,0.931511
581,909728,3.254101962,0.92816
582,909729,4.004293701,0.679253
583,909731,3.122006988,0.802063
584,909732,3.46918521,0.784001
585,909735,3.448698707,0.790803
586,909736,3.304654434,0.785487
587,909737,3.492218073,0.804671
588,909738,3.526544322,0.850326
589,909740,3.215630392,0.754559
590,909743,3.910168723,0.864466
591,909744,3.309695391,0.748233
592,909745,3.245804574,0.676859
593,909746,3.164970445,0.862904
594,909747,3.266021687,0.814446
595,909748,3.855635835,0.802742
596,909749,3.767762388,0.710623
597,909750,3.192878438,0.726555
598,909751,3.516988658,0.813773
599,909753,3.189757177,0.746284
600,909754,3.420434718,0.833259
601,909755,3.218210678,0.794811
602,909756,3.338019,0.652524
603,909757,3.688206339,0.770673
604,909759,2.964960288,0.77879
605,909761,3.427891705,0.836351
606,909769,3.968230487,0.774685
607,909770,3.532975071,0.769659
608,909773,3.968633312,0.852983
609,909774,3.374230327,0.715267
610,909776,3.448741976,0.84131
611,909777,3.576302861,0.625225
612,909778,3.494536405,0.898014
613,909779,4.30873455,0.859478
614,909780,3.704016402,0.782089
615,909781,3.235484825,0.751899
616,909784,3.052132401,0.797101
617,909785,3.43059505,0.659642
618,909904,3.194163651,0.816774
619,909905,3.378485879,0.770709
620,909907,3.555179045,0.920427
621,909974,3.264263807,0.766126
622,909975,3.15785326,0.831984
623,909976,3.56636051,0.74342
624,909977,3.09873472,0.86286
625,910079,3.142641003,0.752195
626,910401,3.828807917,0.895213
627,910546,3.530061669,0.782325
628,910548,3.159506351,0.878678
629,910549,3.63455893,0.783981
630,910554,3.944005295,0.850772
631,910568,3.274158766,0.828709
632,910569,3.378534104,0.794005
633,910687,3.657325348,0.712148
634,910688,3.038519718,0.75427
635,910689,3.294992613,0.885429
636,910691,3.138036831,0.870866
637,910692,3.825830657,0.899288
638,910694,3.395877298,0.823999
639,910695,3.526523952,0.932646
640,910698,3.192060084,0.746358
641,910700,3.197555465,0.748208
642,910702,3.128152181,0.966698
643,910703,3.786552576,0.771902
644,910704,3.109745819,0.719553
645,910705,5.112353769,0.744688
646,910706,3.960290338,0.728439
647,910710,5.696477861,0.693371
648,910779,3.206947795,0.896074
649,910780,4.386579573,0.81453
650,910781,3.568894558,0.831788
651,910784,3.475221866,0.755052
652,910849,3.062917795,0.896393
653,910850,3.492067734,0.859773
654,910852,3.172736832,0.694643
655,910853,3.529554422,0.793347
656,910900,3.160028932,0.936744
657,910903,3.070436482,0.742954
658,910904,3.133402022,0.842731
659,910905,3.730847986,0.855287
660,910906,3.658394203,0.748186
661,910907,3.580762842,0.697304
662,910910,3.635724617,0.785849
663,910911,3.11827174,0.773493
664,910915,3.605878134,0.859789
665,910916,3.403774438,0.682366
666,910919,5.10745189,0.743699
667,910920,3.136140545,0.586959
668,910921,3.300911068,0.5605
669,910922,3.540563464,0.803229
670,910924,3.329384259,0.733371
671,910926,3.343125926,0.707732
672,910927,3.064288617,0.761252
673,910930,3.544122937,0.710959
674,910932,3.278717294,0.730294
675,910933,3.379191448,0.77868
676,910934,3.727434688,0.734289
677,910935,4.138429247,0.629771
678,910936,3.365672464,0.857471
679,910937,3.822489033,0.873206
680,910941,4.211275487,0.715592
681,910942,4.228606919,0.755527
682,910943,3.586440565,0.793129
683,910944,3.991588711,0.805077
684,910947,3.804402293,0.765559
685,910948,3.193870813,0.632795
686,910951,3.76526753,0.717011
687,910952,3.182898455,0.75426
688,911905,3.187862566,0.840626
689,917486,3.276386762,0.922409
690,924100,3.222589709,0.77583
691,924102,3.306446437,0.729249
692,924104,3.451746469,0.739575
693,924105,3.18190282,0.801325
694,924106,3.551280225,0.911388
695,924107,3.231468594,0.805631
696,924108,3.237581104,0.74572
697,924110,3.190311621,0.757205
698,924111,3.20015531,0.76528
699,924151,3.197754694,0.639651
700,924186,3.434643438,0.796633
701,924187,3.274429645,0.746588
702,924238,3.447451364,0.811694
703,924239,7.056178885,0.821941
704,924240,3.559697725,0.871706
705,924244,3.254572133,0.661125
706,924250,3.179947354,0.742905
707,925338,3.054763082,0.737434
708,925340,4.288639593,0.784262
709,925341,4.189637907,0.852553
710,925343,3.28704363,0.752019
711,925345,3.438745184,0.885064
712,925346,3.168329845,0.896861
713,925347,3.214891905,0.75923
714,925348,3.201820895,0.783903
715,930082,3.501550521,0.846315
716,930083,3.766220412,0.878423
717,930297,3.884934128,0.825075
718,930298,3.304293048,0.854124
719,930299,3.43466536,0.71203
720,946353,3.409411137,0.748839
721,946355,3.189127342,0.878877
722,946357,4.733227229,0.796879
723,946358,4.218221177,0.759172
724,946359,3.394729549,0.893604
725,946360,3.076049098,0.715994
726,946361,3.660998693,0.800103
727,946368,3.597841284,0.691929
728,946370,3.06717147,0.742022
729,946382,3.506827601,0.683329
730,949090,3.410219885,0.708391
731,949093,3.255929549,0.871042
732,949094,3.322711728,0.713837
733,949153,3.856579226,0.818335
734,949155,3.093093158,0.778291
735,949156,3.259071695,0.806984
736,949157,3.600396173,0.619074
737,949158,3.18483941,0.790476
738,949160,3.216728257,0.808072
739,949161,3.781563266,0.819018
740,949163,3.510117881,0.767614
741,949164,3.542095743,0.817447
742,949165,3.244343538,0.855174
743,949166,3.551077913,0.913003
744,949167,3.518286558,0.765313
745,949168,3.261799549,0.778602
746,949171,3.220026067,0.87791
747,949172,3.600089667,0.83715
748,949174,3.719176578,0.834213
749,949177,3.197464076,0.708388
750,949178,3.892234428,0.746875
751,949179,4.041910486,0.747533
752,971773,3.41231396,0.710997
753,998184,3.791862953,0.761127
754,998189,3.258278313,0.855092
